holdout_gene,mode,esm_model,n_unfrozen_layers,use_pllr,branch,fusion,pllr_mode,cell_slug,n_prior_features,seed,batch_size,grad_accum,effective_batch,amp,n_finetune,n_inner_val,n_holdout,best_epoch,inner_val_roc_auc,runtime_s,threshold,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,mcc,mcc_ci_low,mcc_ci_high,checkpoint
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed42,9,42,1,8,8,True,450,114,119,5,0.9591836734693876,165.0,0.7409966148477607,0.8547201808931599,0.783776144714528,0.9143583945732052,0.8717762548285074,0.8109243990265005,0.9241973063213792,0.5570406089074871,0.4036996796098906,0.6984033164134681,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed42,9,42,1,8,8,True,530,132,21,5,0.9368055555555556,162.9,0.0190020544083256,0.9705882352941176,0.8676470588235294,1.0,0.9932718185313342,0.9726006191950464,1.0,0.6911764705882353,0.2557390794935059,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed43,9,43,1,8,8,True,380,95,208,5,0.8486073674752921,164.2,0.000508945894875,0.9233443970286076,0.8798798798798798,0.9593804330646436,0.9824396326200256,0.9722414516879362,0.990824262946226,0.5202305927202512,0.4014694129787007,0.6313569354387067,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed43,9,43,1,8,8,True,277,71,335,5,0.9371428571428572,168.5,0.9984235109817544,0.8819336155045668,0.8423177953516001,0.9195069428974528,0.817990695174125,0.7576834818703354,0.8785548591885258,0.6312643482029082,0.5532900187271403,0.7096379047782712,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed43,9,43,1,8,8,True,450,114,119,2,0.9591836734693876,159.1,0.9521936207854924,0.886376483889203,0.824759751271905,0.9361221028829848,0.8931909442561563,0.8388612821390479,0.9394721642580636,0.5881860923348406,0.460874659391769,0.7081473155360198,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed43,9,43,1,8,8,True,529,133,21,3,0.95662100456621,163.1,0.002027651377688,0.9411764705882352,0.8235294117647058,1.0,0.9877162629757786,0.962464985994398,1.0,0.4950737714883372,-0.108465228909328,0.8677218312746247,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed44,9,44,1,8,8,True,380,95,208,4,0.917340521114106,165.1,0.9964207711091349,0.9204994468152364,0.876872925557136,0.9560613244823772,0.9822214097771076,0.9719626149525072,0.9905291604581322,0.4970086048933935,0.4224384496200619,0.5708457435775574,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed44,9,44,1,8,8,True,277,71,335,5,0.9952380952380953,169.3,0.7719858696685878,0.8778309942823197,0.8378239400014852,0.9157389359174278,0.8205710473767351,0.7589789675754638,0.8801256669738016,0.5379929947901151,0.4617085730577103,0.6140459838334474,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
MSH6,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed44,9,44,1,8,8,True,450,114,119,4,0.959497645211931,163.9,0.9649570548989778,0.8934426229508197,0.8355002826455625,0.940927077444884,0.8979309273181324,0.845683732853585,0.9433585423829088,0.570377808566528,0.455465349391443,0.6802244338443691,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH6.pt
PMS2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_prior_scores_seed44,9,44,1,8,8,True,530,132,21,2,0.9340277777777778,159.4,0.9889100932307192,0.9411764705882352,0.8235294117647058,1.0,0.988795518207283,0.9663865546218487,1.0,0.6911764705882353,0.2557390794935059,1.0,data\processed\stage2b_grid\esm_finetune_siamese_holdout_PMS2.pt
MLH1,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,380,95,208,2,0.9748427672955976,165.0,0.9053774283349066,0.9355144618302512,0.892998261419314,0.9701280227596016,0.9847499410384982,0.9740974808694332,0.9933408960561118,0.4022761911452837,0.3529576810031545,0.4562994655387077,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MLH1.pt
MSH2,siamese,facebook/esm2_t33_650M_UR50D,0,True,esm+priors,concat,residual,ablate_structure_seed42,25,42,1,8,8,True,277,71,335,1,0.9961904761904762,163.7,0.4202040064930916,0.912898195589218,0.8770327467141903,0.9444577485705798,0.8674609239557726,0.8072473224351918,0.92342430350349,0.5584711881433564,0.4871088629986452,0.6271966841276844,data\processed\stage2b_grid\esm_finetune_siamese_holdout_MSH2.pt
