cell,gene,n,n_pos,available,reason,threshold,roc_auc,pr_auc,brier,ece_uniform,ece_adaptive,mce,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,npv,f1_pathogenic,f1_macro,f1_weighted,mcc,tn,fp,fn,tp
esmpri_concat_frozen_pllr-concat_seed42,MLH1,208,171,True,,0.0171131279497058,0.9505294768452662,0.9893260323021612,0.1398721157977167,0.2301818430352885,0.2255071150545192,0.700411515,0.8990384615384616,0.7903429745535009,0.9213483146067416,0.95906432748538,0.95906432748538,0.6216216216216216,0.7666666666666667,0.9398280802292264,0.8131976222041655,0.8947768595856951,0.6320764450607103,23.0,14.0,7.0,164.0
esmpri_concat_frozen_pllr-concat_seed42,MSH2,335,134,True,,0.0422890237516257,0.9084428603252396,0.8856295258137568,0.1317997776108849,0.1194899552271642,0.1098804820331343,0.7572290500000001,0.7492537313432835,0.7798507462686568,0.625,0.9328358208955224,0.9328358208955224,0.6268656716417911,0.9333333333333332,0.7485029940119761,0.749251497005988,0.7494011976047904,0.5590169943749475,126.0,75.0,9.0,125.0
esmpri_concat_frozen_pllr-concat_seed42,MSH6,119,58,True,,0.794494908081656,0.9464386659129452,0.9577032621400184,0.1353839129020471,0.1493796386661093,0.1385977007568319,0.926791112,0.8235294117647058,0.8193894855850763,0.9743589743589745,0.6551724137931034,0.6551724137931034,0.9836065573770492,0.75,0.7835051546391752,0.8172844922132046,0.8181360721520459,0.6802244338443691,60.0,1.0,20.0,38.0
esmpri_concat_frozen_pllr-concat_seed42,PMS2,21,17,False,minority_class<5,0.5894997506542968,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_frozen_pllr-off_seed42,MLH1,208,171,True,,0.0901415376647491,0.9535324798482692,0.9898556113925068,0.1302948754750945,0.2120901909794231,0.2092226780948076,0.6109065866666668,0.8990384615384616,0.8432906590801328,0.9464285714285714,0.9298245614035088,0.9298245614035088,0.7567567567567568,0.7,0.9380530973451328,0.83266291230893,0.900558512284176,0.6662025072512756,28.0,9.0,12.0,159.0
esmpri_concat_frozen_pllr-off_seed42,MSH2,335,134,True,,0.6995135378325358,0.9125454815474864,0.8925439952571192,0.1496081187955724,0.1449480762397014,0.1451548359531343,0.7217051,0.8388059701492537,0.8482587064676617,0.75,0.8955223880597015,0.8955223880597015,0.8009950248756219,0.92,0.8163265306122449,0.8363547546678246,0.8403603994789405,0.6831300510639732,161.0,40.0,14.0,120.0
esmpri_concat_frozen_pllr-off_seed42,MSH6,119,58,True,,0.9499838628742054,0.9402204635387224,0.951855151631638,0.1045255782271763,0.1193105777345462,0.1088214829079075,0.71383074,0.8067226890756303,0.8017241379310345,1.0,0.603448275862069,0.603448275862069,1.0,0.7261904761904762,0.7526881720430108,0.7970337411939192,0.798151696718732,0.6619806574248206,61.0,0.0,23.0,35.0
esmpri_concat_frozen_pllr-off_seed42,PMS2,21,17,False,minority_class<5,0.4779999137843176,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_frozen_pllr-residual_seed42,MLH1,208,171,True,,0.3750041617679471,0.9186028133396557,0.976151315156551,0.2123495433453231,0.2622660704372164,0.2692600728410625,0.8395874216666667,0.7596153846153846,0.8114430219693378,0.9689922480620154,0.7309941520467836,0.7309941520467836,0.8918918918918919,0.4177215189873418,0.8333333333333334,0.7011494252873564,0.7863063660477454,0.490793855395518,33.0,4.0,46.0,125.0
esmpri_concat_frozen_pllr-residual_seed42,MSH2,335,134,True,,0.4289939104691148,0.9198039652483848,0.8858176688406737,0.1697533568788853,0.2318207057313433,0.2318207057313432,0.6360691055555556,0.7223880597014926,0.7611940298507462,0.5953488372093023,0.9552238805970148,0.9552238805970148,0.5671641791044776,0.95,0.7335243553008596,0.7219023645663176,0.7195779664194092,0.5337449961641163,114.0,87.0,6.0,128.0
esmpri_concat_frozen_pllr-residual_seed42,MSH6,119,58,True,,0.6079971797440884,0.9638213680045224,0.9675175454135172,0.124822600615707,0.1410964375891454,0.137366043786821,0.91208384,0.8487394957983193,0.8452515545505935,0.9761904761904762,0.7068965517241379,0.7068965517241379,0.9836065573770492,0.7792207792207793,0.82,0.8447826086956521,0.8454073803434418,0.7222283714390504,60.0,1.0,17.0,41.0
esmpri_concat_frozen_pllr-residual_seed42,PMS2,21,17,False,minority_class<5,0.0030000215069026,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_frozen_pllr-residual_seed43,MLH1,208,171,True,,0.0599935103660936,0.9317211948790896,0.9845379024602756,0.1321669769906028,0.1308598613891876,0.1275067785045721,0.9092360625,0.875,0.8180812391338708,0.9393939393939394,0.9064327485380116,0.9064327485380116,0.7297297297297297,0.627906976744186,0.9226190476190476,0.7988095238095239,0.8785714285714286,0.600745833721708,27.0,10.0,16.0,155.0
esmpri_concat_frozen_pllr-residual_seed43,MSH2,335,134,True,,0.8444764274837905,0.8976943640008911,0.8552694524149532,0.2770176090178376,0.2887160476939507,0.2828463239566373,0.8476539375000001,0.7283582089552239,0.7624378109452736,0.6038647342995169,0.9328358208955224,0.9328358208955224,0.5920398009950248,0.9296875,0.7331378299120235,0.7282710426155863,0.7272976851562988,0.5291961458561938,119.0,82.0,9.0,125.0
esmpri_concat_frozen_pllr-residual_seed43,MSH6,119,58,True,,0.9914951562204032,0.9152063312605992,0.9221997864366692,0.181647899810786,0.1888982821917449,0.1882636752125693,0.8072463599999999,0.773109243697479,0.7680893159977389,0.9428571428571428,0.5689655172413793,0.5689655172413793,0.9672131147540984,0.7023809523809523,0.7096774193548387,0.7617352614015573,0.7630476439741636,0.5881860923348406,59.0,2.0,25.0,33.0
esmpri_concat_frozen_pllr-residual_seed43,PMS2,21,17,False,minority_class<5,0.0045000098280272,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_frozen_pllr-residual_seed44,MLH1,208,171,True,,0.99046248290931,0.9198672356567092,0.9791832180645104,0.1638371156224359,0.1783748965705048,0.1894501172435818,0.7742721388571429,0.3846153846153846,0.6257309941520468,1.0,0.2514619883040935,0.2514619883040935,1.0,0.2242424242424242,0.4018691588785046,0.3841028962709355,0.3955484692969656,0.2374625146462701,37.0,0.0,128.0,43.0
esmpri_concat_frozen_pllr-residual_seed44,MSH2,335,134,True,,0.0105025496342063,0.8983255364966213,0.8577404007923168,0.1923371746564335,0.1982708879255764,0.191513507430054,0.9123328533333334,0.7074626865671642,0.7475124378109452,0.5825688073394495,0.9477611940298508,0.9477611940298508,0.5472636815920398,0.9401709401709402,0.7215909090909091,0.7067074042309891,0.7037307032590051,0.5086935998161852,110.0,91.0,7.0,127.0
esmpri_concat_frozen_pllr-residual_seed44,MSH6,119,58,True,,0.9299976571660388,0.9626907857546636,0.9620010360253102,0.1855026870450496,0.1929172100797988,0.1929212500918818,0.896419965,0.7983193277310925,0.7931034482758621,1.0,0.5862068965517241,0.5862068965517241,1.0,0.7176470588235294,0.7391304347826086,0.7873734365693865,0.7885896466984651,0.6486059321131852,61.0,0.0,24.0,34.0
esmpri_concat_frozen_pllr-residual_seed44,PMS2,21,17,False,minority_class<5,0.0705005081794797,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_full_pllr-off_seed42,MLH1,208,171,True,,0.0521846104667056,0.8991623202149517,0.9691057502279096,0.1214717056481158,0.1361732822033173,0.1448686864340865,0.637553065,0.875,0.7439544807965861,0.905027932960894,0.9473684210526316,0.9473684210526316,0.5405405405405406,0.6896551724137931,0.9257142857142856,0.7658874458874458,0.8688528138528139,0.5386568633372887,20.0,17.0,9.0,162.0
esmpri_concat_full_pllr-off_seed42,MSH2,335,134,True,,0.7880871400935576,0.8843283582089552,0.8454420563376761,0.2545885593794074,0.2677398266191044,0.2586206350370149,0.8094976563636362,0.746268656716418,0.7723880597014925,0.6269430051813472,0.9029850746268656,0.9029850746268656,0.6417910447761194,0.908450704225352,0.7400611620795107,0.7461238755003967,0.747336418184574,0.5400645399980923,129.0,72.0,13.0,121.0
esmpri_concat_full_pllr-off_seed42,MSH6,119,58,True,,0.012582549864237,0.9280667043527416,0.9439853625382736,0.1514750662095824,0.1664002814832436,0.1664323702344033,0.90598982,0.865546218487395,0.8629169022046353,0.9565217391304348,0.7586206896551724,0.7586206896551724,0.9672131147540984,0.8082191780821918,0.8461538461538461,0.8633754305396096,0.8638095881291667,0.7450334283291428,59.0,2.0,14.0,44.0
esmpri_concat_full_pllr-off_seed42,PMS2,21,17,False,minority_class<5,0.6951713289050385,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_full_pllr-residual_seed42,MLH1,208,171,True,,0.5776267617475241,0.908487434803224,0.9598807211249424,0.0878933505554403,0.1287893443701923,0.1179623783990384,0.6027066999999999,0.908653846153846,0.8067804646752015,0.9269662921348316,0.9649122807017544,0.9649122807017544,0.6486486486486487,0.8,0.9455587392550144,0.8309883248513877,0.904798111053724,0.6678608491360036,24.0,13.0,6.0,165.0
esmpri_concat_full_pllr-residual_seed42,MSH2,335,134,True,,0.6245877487212419,0.9141234127868122,0.8587585471280608,0.2541456609294769,0.3198401870149253,0.3461075993134329,0.5804065436585365,0.7194029850746269,0.7587064676616915,0.5925925925925926,0.9552238805970148,0.9552238805970148,0.5621890547263682,0.9495798319327732,0.7314285714285714,0.7188392857142858,0.7163214285714286,0.5296480205051888,113.0,88.0,6.0,128.0
esmpri_concat_full_pllr-residual_seed42,MSH6,119,58,True,,0.5003367134779692,0.9737139626907856,0.9777818257259948,0.1106012179561501,0.2323020146218486,0.2192234805042016,0.56946045,0.907563025210084,0.9060203504804974,0.9607843137254902,0.8448275862068966,0.8448275862068966,0.9672131147540984,0.8676470588235294,0.8990825688073395,0.906905625488941,0.907102845405284,0.8201950941469871,59.0,2.0,9.0,49.0
esmpri_concat_full_pllr-residual_seed42,PMS2,21,17,False,minority_class<5,0.3991930421178767,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_full_pllr-residual_seed43,MLH1,208,171,True,,0.711816450059414,0.860597439544808,0.94972305727953,0.1121409519201379,0.1560926436057692,0.1720233161057692,0.47389856,0.8894230769230769,0.8374427058637586,0.9457831325301204,0.9181286549707602,0.9181286549707602,0.7567567567567568,0.6666666666666666,0.9317507418397626,0.8203057506667167,0.8921020430570443,0.6429101297174892,28.0,9.0,14.0,157.0
esmpri_concat_full_pllr-residual_seed43,MSH2,335,134,True,,0.2828660351783037,0.9049528477017896,0.8607073957512705,0.175678975573134,0.1643170856925373,0.1643170856925373,0.7638547918181818,0.7313432835820896,0.7661691542288558,0.6057692307692307,0.9402985074626866,0.9402985074626866,0.5920398009950248,0.937007874015748,0.7368421052631579,0.7312259306803595,0.7301026957637997,0.5375323672401594,119.0,82.0,8.0,126.0
esmpri_concat_full_pllr-residual_seed43,MSH6,119,58,True,,0.9931661760547358,0.964104013566987,0.968051361814494,0.0897432832993567,0.0933073770195798,0.0737095436437815,0.7130467,0.8151260504201681,0.8103448275862069,1.0,0.6206896551724138,0.6206896551724138,1.0,0.7349397590361446,0.7659574468085106,0.8065898345153664,0.8076141804239427,0.6754032170552947,61.0,0.0,22.0,36.0
esmpri_concat_full_pllr-residual_seed43,PMS2,21,17,False,minority_class<5,0.9934203427447644,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_full_pllr-residual_seed44,MLH1,208,171,True,,0.6923234100341796,0.859965228386281,0.95039562008073,0.111138018659632,0.1575586083653846,0.1701613276923076,0.46863204,0.903846153846154,0.8250355618776671,0.9364161849710982,0.9473684210526316,0.9473684210526316,0.7027027027027027,0.7428571428571429,0.9418604651162792,0.8320413436692506,0.9027902007553172,0.6645118325194295,26.0,11.0,9.0,162.0
esmpri_concat_full_pllr-residual_seed44,MSH2,335,134,True,,0.9924835237093502,0.9151258632212074,0.8702535542733485,0.3284240258961121,0.3483113616668656,0.3508563543832836,0.7645696716666667,0.8208955223880597,0.835820895522388,0.7176470588235294,0.9104477611940298,0.9104477611940298,0.7611940298507462,0.9272727272727272,0.8026315789473685,0.8193485763589301,0.8226919758412425,0.6581451817144176,153.0,48.0,12.0,122.0
esmpri_concat_full_pllr-residual_seed44,MSH6,119,58,True,,0.6914549606093205,0.9771057094403618,0.9794153857551136,0.0811703854649767,0.0991255350756303,0.0856122155462185,0.65546215,0.865546218487395,0.8624929338609384,0.9772727272727272,0.7413793103448276,0.7413793103448276,0.9836065573770492,0.8,0.8431372549019608,0.8627450980392157,0.8632394134124237,0.750674192068948,60.0,1.0,15.0,43.0
esmpri_concat_full_pllr-residual_seed44,PMS2,21,17,False,minority_class<5,0.983243006718636,,,,,,,,,,,,,,,,,,,,,
esmpri_concat_last2_pllr-residual_seed42,MLH1,208,171,True,,0.3055772048644721,0.9404140983088352,0.9865650475112886,0.1234563473348498,0.2219991496923077,0.2146064289230768,0.5794059,0.8798076923076923,0.799826141931405,0.9294117647058824,0.9239766081871345,0.9239766081871345,0.6756756756756757,0.6578947368421053,0.9266862170087976,0.7966764418377321,0.880432739303707,0.5934472891341975,25.0,12.0,13.0,158.0
esmpri_concat_last2_pllr-residual_seed42,MSH2,335,134,True,,0.9851813487816834,0.9123041508873544,0.8763804746013864,0.2596931930152635,0.2738916207265672,0.2759015328877612,0.910927645,0.8597014925373134,0.8606965174129353,0.8,0.8656716417910447,0.8656716417910447,0.8557213930348259,0.9052631578947368,0.8315412186379928,0.855668307528715,0.8604937253068595,0.7132825035177587,172.0,29.0,18.0,116.0
esmpri_concat_last2_pllr-residual_seed42,MSH6,119,58,True,,0.0275114597101264,0.9044657998869418,0.9081549473691254,0.226978961476516,0.2324785733746805,0.2089720026114874,0.89717929,0.7983193277310925,0.793951384963256,0.9473684210526316,0.6206896551724138,0.6206896551724138,0.9672131147540984,0.7283950617283951,0.75,0.7904929577464789,0.7915137886140372,0.6303040721288039,59.0,2.0,22.0,36.0
esmpri_concat_last2_pllr-residual_seed42,PMS2,21,17,False,minority_class<5,0.220992464300125,,,,,,,,,,,,,,,,,,,,,
esmpri_gatewave_frozen_pllr-residual_seed42,MLH1,208,171,True,,0.0134815814509056,0.9510036352141616,0.9895860673621684,0.2980616337838399,0.4086549377956731,0.4086549377956731,0.7696034933333333,0.8942307692307693,0.79800853485064,0.9257142857142856,0.9473684210526316,0.9473684210526316,0.6486486486486487,0.7272727272727273,0.9364161849710982,0.8110652353426919,0.8918201740456075,0.6238520706333445,24.0,13.0,9.0,162.0
esmpri_gatewave_frozen_pllr-residual_seed42,MSH2,335,134,True,,0.4263150253891945,0.917464914234796,0.8882973729663024,0.1658086402330813,0.2153803645074627,0.2198596702985074,0.5381357750000001,0.7522388059701492,0.7848258706467661,0.625615763546798,0.9477611940298508,0.9477611940298508,0.6218905472636815,0.946969696969697,0.7537091988130564,0.7522299747819036,0.751934129975673,0.5711167171625958,125.0,76.0,7.0,127.0
esmpri_gatewave_frozen_pllr-residual_seed42,MSH6,119,58,True,,0.0417404313828592,0.9592990390050876,0.9624132903066426,0.1729600712217864,0.1763852693583193,0.1777417670921008,0.6561834,0.8319327731092437,0.8280101752402487,0.975,0.6724137931034483,0.6724137931034483,0.9836065573770492,0.759493670886076,0.7959183673469388,0.8265306122448979,0.827302349511233,0.6941489720516704,60.0,1.0,19.0,39.0
esmpri_gatewave_frozen_pllr-residual_seed42,PMS2,21,17,False,minority_class<5,0.002541381052928,,,,,,,,,,,,,,,,,,,,,
priors_only,MLH1,208,171,True,,0.3101320379294,0.9650703334913862,0.9852849422842079,0.1576699107220162,0.30297770883197117,0.3032032218127404,0.56184550125,0.9423076923076923,0.9331436699857752,0.9818181818181818,0.9473684210526315,0.9473684210526315,0.918918918918919,0.7906976744186046,0.9642857142857143,0.9071428571428571,0.9439560439560439,0.8180591092245172,34.0,3.0,9.0,162.0
priors_only,MSH2,335,134,True,,0.70998022913025,0.9078488156233756,0.8666231449394248,0.1702216573203051,0.17108719387462684,0.173767932441791,0.7666150164285714,0.808955223880597,0.8258706467661692,0.7011494252873564,0.9104477611940298,0.9104477611940298,0.7412935323383084,0.9254658385093167,0.7922077922077922,0.8077061060486475,0.8108057688168185,0.6390548040457493,149.0,52.0,12.0,122.0
priors_only,MSH6,119,58,True,,0.6975976807475,0.9790842283776144,0.9807284020315286,0.08429051798740692,0.11828471967899158,0.12866301166554622,0.695263895,0.8235294117647058,0.8193894855850763,0.9743589743589743,0.6551724137931034,0.6551724137931034,0.9836065573770492,0.75,0.7835051546391752,0.8172844922132046,0.8181360721520459,0.6802244338443691,60.0,1.0,20.0,38.0
priors_only,PMS2,21,17,False,minority_class<5,,,,,,,,,,,,,,,,,,,,,,
