arm,model,seed,min,max
B1,bilstm_attn,43,0.42636909311065,0.867066198132509
B1,bilstm_attn,44,0.6022573637169167,0.8345333405436834
B1,cnn,42,0.6679796171748239,0.8876509250026859
B1,cnn,43,0.7796446816328687,0.822838149541978
B1,cnn,44,0.7608415281469341,0.9165445596504584
B1,gbm,42,0.45119236657530826,0.49518345159327176
B1,gbm,43,0.18990746595388291,0.30680096884296365
B1,gbm,44,0.32344455798311417,0.38525682646934306
B1,mlp,42,0.7101110681862279,0.872634509654894
B1,mlp,43,0.6979661816020302,0.7246635770844387
B1,mlp,44,0.5764290796567315,0.8580365200798572
B1,transformer,42,0.3898902544769988,0.5179164931032288
B1,transformer,43,0.49233314505761694,0.7605569128187669
B1,transformer,44,0.5036200595228638,0.7730491510109425
B2,aa_mlp,42,0.5049833059310913,0.8176995686122349
B2,aa_mlp,43,0.410442910024098,0.8271952113993243
B2,aa_mlp,44,0.27369022369384766,0.6908604298552422
B2,bilstm,42,0.3567615747451782,0.7724339578249682
B2,bilstm,43,0.6619900453347282,0.7572559481031043
B2,bilstm,44,0.23279200494289398,0.8191757585904369
B2,bilstm_attn,42,0.11342313140630722,0.703293938459482
B2,bilstm_attn,43,0.31161779165267944,0.7644584183590285
B2,bilstm_attn,44,0.29051917791366577,0.7697577280540989
B2,cnn,42,0.019702976569533348,0.7873254662157265
B2,cnn,43,0.7254947706211337,0.912844405248907
B2,cnn,44,0.31162330508232117,0.9322299886123075
B2,gbm,42,0.19428414106369019,0.4173383269524621
B2,gbm,43,0.40968658866947405,0.9520111083984375
B2,gbm,44,0.3329900829759359,0.7770457863807678
B2,mlp,42,0.23448969423770905,0.8023228449364229
B2,mlp,43,0.6043655013851456,0.878491222858429
B2,mlp,44,0.14293141663074493,0.8873887796924539
B2,transformer,42,0.08256375044584274,0.6189954216699546
B2,transformer,43,0.5803748965263367,0.7872831331540461
B2,transformer,44,0.5812067528293554,0.773128839854858
B3,aa_mlp,42,0.4094391167163849,0.5227936506271362
B3,aa_mlp,43,0.38759419322013855,0.541965901851654
B3,aa_mlp,44,0.4382590651512146,0.6494176983833313
B3,bilstm,42,0.46817365288734436,0.5364826321601868
B3,bilstm,43,0.16232602298259735,0.6704985499382019
B3,bilstm,44,0.2220379114151001,0.5489267110824585
B3,bilstm_attn,42,0.36132070422172546,0.46565136313438416
B3,bilstm_attn,43,0.20192395150661469,0.6048685312271118
B3,bilstm_attn,44,0.2770594656467438,0.571994960308075
B3,cnn,42,0.2872869670391083,0.5742965340614319
B3,cnn,43,0.4619683027267456,0.7873730063438416
B3,cnn,44,0.269601970911026,0.8402960300445557
B3,gbm,42,0.8583879470825195,0.9540833234786987
B3,gbm,43,0.27143555879592896,0.9446917772293091
B3,gbm,44,0.37156543135643005,0.8695399165153503
B3,mlp,42,0.4162977635860443,0.9157231450080872
B3,mlp,43,0.2880578339099884,0.9280503392219543
B3,mlp,44,0.37318795919418335,0.9181408882141113
B3,transformer,42,0.16379033029079437,0.8450871706008911
B3,transformer,43,0.5096575021743774,0.7021059989929199
B3,transformer,44,0.3329194486141205,0.61628258228302
M,aa_mlp,42,0.4788428246974945,0.5360923409461975
M,aa_mlp,43,0.37147918343544006,0.5865371823310852
M,aa_mlp,44,0.4114922881126404,0.7732787132263184
M,bilstm,42,0.5235886573791504,0.5792627930641174
M,bilstm,43,0.342220664024353,0.41543376445770264
M,bilstm,44,0.22269047796726227,0.5142928957939148
M,bilstm_attn,42,0.377849280834198,0.5493322014808655
M,bilstm_attn,43,0.22274067997932434,0.7696460485458374
M,bilstm_attn,44,0.20864494144916534,0.5877651572227478
M,cnn,42,0.43339696526527405,0.5569889545440674
M,cnn,43,0.4600455164909363,0.5693644285202026
M,cnn,44,0.14166459441184998,0.49016091227531433
M,gbm,42,0.3932192027568817,0.9103518128395081
M,gbm,43,0.3267251253128052,0.7942278981208801
M,gbm,44,0.5290734171867371,0.7061271667480469
M,mlp,42,0.046798598021268845,0.4561412036418915
M,mlp,43,0.32169613242149353,0.6187761425971985
M,mlp,44,0.3247400224208832,0.4925207197666168
M,transformer,42,0.18624137341976166,0.6970070004463196
M,transformer,43,0.5872767567634583,0.9665428400039673
M,transformer,44,0.07839877903461456,0.3575316071510315
